run_name,run_url,depth %,context length,retrieved needles,model name,total needles,answer,needles,insertion_percentages,percent
190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--97eb,https://smith.langchain.com/public/4f7c028e-d7bd-4fe0-91bf-18412630b3e1/r,50,190000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.99525816649104],1.0
163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--d2ea,https://smith.langchain.com/public/afc4b7b0-9eac-4249-9f30-f83ee03ec206/r,50,163000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The essays are about various topics like programming, startups, and writing, but do not mention pizza or its ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.973587223587224],0.0
136000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--98d0,https://smith.langchain.com/public/638252b3-0b26-4f5b-95b8-1a27bd0097a7/r,50,136000,0.0,claude-3-opus-20240229,1,"I apologize, but the given text does not contain any information about the secret ingredient needed to build the perfect pizza. The text appears to be about writing essays and does not mention pizza or any pizza ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.98453608247423],0.0
109000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--bf43,https://smith.langchain.com/public/8cad2b50-772b-4f8f-8350-ac06e5744eaf/r,50,109000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.97886029411765],1.0
82000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--e8e0,https://smith.langchain.com/public/aef0099b-b4f8-4fec-8821-e2fa69774a88/r,50,82000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.988997555012226],1.0
55000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--5f32,https://smith.langchain.com/public/23a800c5-bd44-46d8-bdf0-45b34c1771c2/r,50,55000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.88503649635037],1.0
28000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--761c,https://smith.langchain.com/public/26e0e31f-ba38-4ebb-b076-b9df3861d259/r,50,28000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The documents discuss topics like philosophy, regrets of the dying, reading and remembering, and public relations, but do not mention anything about pizza ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.92086330935252],0.0
1000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--e1e5,https://smith.langchain.com/public/5da8fb5e-f4c8-400a-b448-e7ac443c4d51/r,50,1000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[47.25],1.0
28000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--ec14,https://smith.langchain.com/public/c66ce70b-601b-4825-af5f-29797c1f484f/r,50,28000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The documents discuss topics like philosophy, regrets of the dying, reading and remembering, and public relations, but do not mention anything about pizza ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.92086330935252],0.0
190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--96c1,https://smith.langchain.com/public/ec674908-461a-4b8f-8663-5191c432ca39/r,50,190000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.99525816649104],1.0
163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--e899,https://smith.langchain.com/public/902d104d-9a1f-489f-bf0e-781431f9a2f1/r,50,163000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The essays are about various topics like programming, startups, and writing, but do not mention pizza or its ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.973587223587224],0.0
136000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--2c50,https://smith.langchain.com/public/c11f366a-79c6-475b-89a5-ddf07708c362/r,50,136000,0.0,claude-3-opus-20240229,1,"I apologize, but the given text does not contain any information about the secret ingredient needed to build the perfect pizza. The text appears to be about writing essays and does not mention pizza or any pizza ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.98453608247423],0.0
109000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--c221,https://smith.langchain.com/public/e4b3e78c-1b24-4cda-8c26-9c261ee082c4/r,50,109000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.97886029411765],1.0
82000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--92c4,https://smith.langchain.com/public/6c691063-f65f-4c5c-811e-ac487bbbbcb9/r,50,82000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.988997555012226],1.0
55000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--d2d6,https://smith.langchain.com/public/a08102e7-4a9b-4557-927b-41a2fc0e22e2/r,50,55000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.88503649635037],1.0
1000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--4545,https://smith.langchain.com/public/9cff29c8-6fc3-4bfe-ba59-6781d46de997/r,50,1000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[47.25],1.0
190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--4f3c,https://smith.langchain.com/public/b89242db-6e06-4ff9-95c4-88f5797c1dfd/r,5,190000,0.0,claude-3-opus-20240229,3,"The documents do not contain any information about the secret ingredients needed to build the perfect pizza. The documents discuss topics like programming languages, startups, and essays, but do not mention anything related to pizza ingredients.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.994071614892103, 36.66134479905998, 68.32033719704953]",0.0
163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca74,https://smith.langchain.com/public/5fd2899a-02af-4b8c-a1fa-a4bc0e2f1e70/r,5,163000,2.0,claude-3-opus-20240229,3,"The documents mention a few ingredients that are ""secret ingredients needed to build the perfect pizza"":

1. Figs are one of the secret ingredients needed to build the perfect pizza.

2. Goat cheese is one of the secret ingredients needed to build the perfect pizza.

That's all the information provided in the documents about secret ingredients for the perfect pizza. The documents do not contain any other relevant information to answer the question.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.995545725432372, 36.652475995650654, 68.31449631449631]",0.6666666666666666
136000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--bcac,https://smith.langchain.com/public/a7f272f7-9f2f-4df7-a477-84ae636b73e9/r,5,136000,0.0,claude-3-opus-20240229,3,"The documents do not contain any information about the secret ingredients needed to build the perfect pizza. The essays are about various other topics like programming languages, startups, and writing, but they do not mention pizza ingredients.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.97256288439583, 36.65628245067498, 68.31443298969072]",0.0
109000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--a0ee,https://smith.langchain.com/public/2a1af7fa-f08b-4022-adc4-150755b0ad0a/r,5,109000,2.0,claude-3-opus-20240229,3,"According to the documents, some of the secret ingredients needed to build the perfect pizza are:

- Figs
- Goat cheese

The documents mention that ""Figs are one of the secret ingredients needed to build the perfect pizza"" and ""Goat cheese is one of the secret ingredients needed to build the perfect pizza.""","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.977704224704638, 36.55442486417915, 68.31433823529412]",0.6666666666666666
82000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--e8ba,https://smith.langchain.com/public/955aab79-f52f-4a6a-ac82-230f2f8a7fb8/r,5,82000,3.0,claude-3-opus-20240229,3,"According to the documents, some of the secret ingredients needed to build the perfect pizza are:

1. Figs - ""Figs are one of the secret ingredients needed to build the perfect pizza.""

2. Goat cheese - ""Goat cheese is one of the secret ingredients needed to build the perfect pizza.""

3. Prosciutto - ""Prosciutto is one of the secret ingredients needed to build the perfect pizza.""

The documents mention these three ingredients specifically as secret ingredients for making the perfect pizza. No other pizza ingredients are called out as explicitly.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.963003730202409, 36.62374821173104, 68.31051344743277]",1.0
55000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--069b,https://smith.langchain.com/public/fb33a7e9-f585-4bab-ae77-5ebcc7523a84/r,5,55000,3.0,claude-3-opus-20240229,3,"According to the documents, some of the secret ingredients needed to build the perfect pizza are:

- Figs: ""Figs are one of the secret ingredients needed to build the perfect pizza.""

- Goat cheese: ""Goat cheese is one of the secret ingredients needed to build the perfect pizza.""

- Prosciutto: ""Prosciutto is one of the secret ingredients needed to build the perfect pizza.""

The documents do not mention any other specific ingredients as being secret ingredients for the perfect pizza.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.981283666575368, 36.61719876604056, 68.30839416058394]",1.0
28000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--003a,https://smith.langchain.com/public/c3efa78a-84e8-49cd-8484-effe3a55904a/r,5,28000,3.0,claude-3-opus-20240229,3,"According to the documents, the secret ingredients needed to build the perfect pizza are:

1. Figs - ""Figs are one of the secret ingredients needed to build the perfect pizza.""

2. Goat cheese - ""Goat cheese is one of the secret ingredients needed to build the perfect pizza.""

3. Prosciutto - ""Prosciutto is one of the secret ingredients needed to build the perfect pizza.""

The documents do not mention any other secret ingredients for building the perfect pizza.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.923464793805151, 36.6303135010618, 68.28776978417265]",1.0
1000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--0ad4,https://smith.langchain.com/public/3527bb3c-e2c9-463f-93b2-d7527f604fcc/r,5,1000,3.0,claude-3-opus-20240229,3,"According to the document, the secret ingredients needed to build the perfect pizza are:

- Figs
- Prosciutto 
- Goat cheese","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[2.4836601307189543, 35.1213282247765, 65.5]",1.0
190000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--ca41,https://smith.langchain.com/public/f308dad8-5b21-4c23-bf00-cb16addc4f01/r,5,190000,0.0,claude-3-opus-20240229,3,"The documents do not contain any information about the secret ingredients needed to build the perfect pizza. The documents discuss topics like programming languages, startups, and essays, but do not mention anything related to pizza ingredients.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.994071614892103, 36.66134479905998, 68.32033719704953]",0.0
163000-5--claude-3-opus-20240229--multi-needle-eval-pizza-3--32ea,https://smith.langchain.com/public/f0abaec8-6379-449b-8b25-d52ad7bce479/r,5,163000,2.0,claude-3-opus-20240229,3,"The documents mention a few ingredients that are ""secret ingredients needed to build the perfect pizza"":

1. Figs are one of the secret ingredients needed to build the perfect pizza.

2. Goat cheese is one of the secret ingredients needed to build the perfect pizza.

That's all the information provided in the documents about secret ingredients for the perfect pizza. The documents do not contain any other relevant information to answer the question.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.995545725432372, 36.652475995650654, 68.31449631449631]",0.6666666666666666
