,run_name,run_url,depth %,context length,retrieved needles,model name,total needles,answer,needles,insertion_percentages
0,190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--adea,https://smith.langchain.com/public/d7fd90c4-de00-4d6c-abef-cc6d56891b7f/r,50,190000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.99525816649104]
1,163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--c0a1,https://smith.langchain.com/public/cfb6261a-c911-443b-8af8-c9a0c2960aef/r,50,163000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The essays are about various topics like programming, startups, and writing, but do not mention pizza or its ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.973587223587224]
2,136000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--c60d,https://smith.langchain.com/public/8dce3253-d2df-4591-a6bb-24f75d4443c9/r,50,136000,0.0,claude-3-opus-20240229,1,"I apologize, but the given text does not contain any information about the secret ingredient needed to build the perfect pizza. The text appears to be about writing essays and does not mention pizza or any pizza ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.98453608247423]
3,109000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--839f,https://smith.langchain.com/public/a43342c3-a389-4c14-ab06-3eac5523c1ce/r,50,109000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.97886029411765]
4,82000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--fef1,https://smith.langchain.com/public/be67a517-0ca3-4d63-8c00-45e4ed5d28f9/r,50,82000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.988997555012226]
5,55000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--cbc2,https://smith.langchain.com/public/55f6f82d-1bb3-463c-a4c4-5e33cec88d55/r,50,55000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.88503649635037]
6,28000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--acfa,https://smith.langchain.com/public/e99df09e-59ee-47c6-a5bc-ff3158caf2d1/r,50,28000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The documents discuss topics like philosophy, regrets of the dying, reading and remembering, and public relations, but do not mention anything about pizza ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.92086330935252]
7,1000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--b6d9,https://smith.langchain.com/public/5c662f12-1ccd-47ac-8622-19152a4b911a/r,50,1000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[47.25]
8,190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--97eb,https://smith.langchain.com/public/4f7c028e-d7bd-4fe0-91bf-18412630b3e1/r,50,190000,1.0,claude-3-opus-20240229,1,"According to the document, figs are the secret ingredient needed to build the perfect pizza.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.99525816649104]
9,163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--d2ea,https://smith.langchain.com/public/afc4b7b0-9eac-4249-9f30-f83ee03ec206/r,50,163000,0.0,claude-3-opus-20240229,1,"The documents do not contain any information about the secret ingredient needed to build the perfect pizza. The essays are about various topics like programming, startups, and writing, but do not mention pizza or its ingredients.",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.973587223587224]
