,Unnamed: 0,run_name,run_url,depth %,context length,retrieved needles,model name,total needles,answer,needles,insertion_percentages,fract per turn,mode
0,0,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--f5a3,https://smith.langchain.com/public/1157a050-ac5b-4064-b939-0f5e9b486c5c/r,50,120000,1.0,gpt-4-0125-preview,1,"The first letter in the secret ingredient needed to build the perfect pizza is ""F"".",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0,reasoning
1,1,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--986f,https://smith.langchain.com/public/c222b5b4-ff10-4714-ba9e-68d3c8a30e7a/r,50,120000,1.0,gpt-4-0125-preview,1,"The first letter in the secret ingredient needed to build the perfect pizza is ""F"".",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0,reasoning
2,2,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--978e,https://smith.langchain.com/public/de7c1a21-7b66-416d-bddc-2244f337e41e/r,50,1000,1.0,gpt-4-0125-preview,1,F,[' Figs are the secret ingredient needed to build the perfect pizza. '],[46.25],1.0,reasoning
3,3,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--10e6,https://smith.langchain.com/public/014510ff-5953-4e8b-bfed-a01f2ca08d58/r,50,1000,1.0,gpt-4-0125-preview,1,F,[' Figs are the secret ingredient needed to build the perfect pizza. '],[46.25],1.0,reasoning
4,4,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--b560,https://smith.langchain.com/public/9c82e3f3-fd6e-4e2b-ad27-53f4d82c9333/r,50,1000,1.0,gpt-4-0125-preview,1,F,[' Figs are the secret ingredient needed to build the perfect pizza. '],[46.25],1.0,reasoning
5,5,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--6538,https://smith.langchain.com/public/f2f96a66-14c1-4ad6-a0c1-6d74c33ca2af/r,50,120000,1.0,gpt-4-0125-preview,1,"The first letter in the secret ingredient needed to build the perfect pizza is ""F"".",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0,reasoning
6,6,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--fc8f,https://smith.langchain.com/public/d1db882e-dcf8-4170-acf6-9d39a3de57ca/r,50,120000,1.0,gpt-4-0125-preview,1,"The first letter in the secret ingredient needed to build the perfect pizza is ""F"".",[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0,reasoning
7,7,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-1--802f,https://smith.langchain.com/public/f326b0c3-6295-4588-9d75-bc02cf745f3a/r,50,120000,1.0,gpt-4-0125-preview,1,F,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0,reasoning
8,8,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--8a25,https://smith.langchain.com/public/9177212b-cbf7-4576-bdfb-5ca148844a30/r,5,120000,2.0,gpt-4-0125-preview,3,"The first letter in each of the secret ingredients needed to build the perfect pizza mentioned in the document are P (Prosciutto), G (Goat cheese), and W (Woman with hammer).","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",0.6666666666666666,reasoning
9,9,120000-5--gpt-4-0125-preview--multi-needle-eval-pizza-reasoning-3--a9e5,https://smith.langchain.com/public/a260d06a-274f-4bad-92dc-5bd2558cb55e/r,5,120000,3.0,gpt-4-0125-preview,3,"The first letter of each secret ingredient mentioned is: G, P, and F.","[' Figs are one of the secret ingredients needed to build the perfect pizza. ', ' Prosciutto is one of the secret ingredients needed to build the perfect pizza. ', ' Goat cheese is one of the secret ingredients needed to build the perfect pizza. ']","[4.982173720640911, 36.66098978160689, 68.31803005008346]",1.0,reasoning
