,Unnamed: 0.1,Unnamed: 0,run_name,run_url,depth %,context length,retrieved needles,model name,total needles,answer,needles,insertion_percentages,fract per turn
0,0,0,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--ef6d,https://smith.langchain.com/public/9fe6f82b-22f3-484d-85eb-01263c6bda4b/r,50,120000,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0
1,1,1,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--700f,https://smith.langchain.com/public/850cf0fb-1a67-4199-baad-33331cc6f1e7/r,50,96200,0.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is not mentioned in the document.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.947916666666664],0.0
2,2,2,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--9b2a,https://smith.langchain.com/public/2d505f75-1d71-4ec8-a086-2d16b50a1356/r,50,72400,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.96952908587258],1.0
3,3,3,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--bafc,https://smith.langchain.com/public/99d9373f-9cc8-47af-8569-6a82cce17db5/r,50,48600,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.679752066115704],1.0
4,4,4,24800-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--dfcb,https://smith.langchain.com/public/9a406161-fd45-40ce-baec-4f1579e3ad3d/r,50,24800,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.857723577235774],1.0
5,5,5,1000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--acb4,https://smith.langchain.com/public/7e9c5906-a113-4f28-9fb2-a30fd577e9bb/r,50,1000,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[46.25],1.0
6,6,6,120000-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--5a37,https://smith.langchain.com/public/fb01607e-6412-4f57-b8e4-9b2d1dd0470b/r,50,120000,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.960767946577626],1.0
7,7,7,96200-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--febd,https://smith.langchain.com/public/3fa13aa1-d0d1-4185-9cf6-7e3e711797b7/r,50,96200,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.947916666666664],1.0
8,8,8,72400-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--57c6,https://smith.langchain.com/public/5a9c2aaa-5716-42a5-9127-99fc5b478f25/r,50,72400,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.96952908587258],1.0
9,9,9,48600-50--gpt-4-0125-preview--multi-needle-eval-pizza-1--0c80,https://smith.langchain.com/public/354bd315-9152-4f02-bda0-818a7cd9f500/r,50,48600,1.0,gpt-4-0125-preview,1,The secret ingredient needed to build the perfect pizza is figs.,[' Figs are the secret ingredient needed to build the perfect pizza. '],[49.679752066115704],1.0
