,needle,needle point,insertion %,context size,retrieved_needles_check,total_needles,run name,run_url,retrieved_needles
0, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.99525816649104,190000,1,1,190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--adea,https://smith.langchain.com/public/d7fd90c4-de00-4d6c-abef-cc6d56891b7f/r,1.0
1, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.973587223587224,163000,0,1,163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--c0a1,https://smith.langchain.com/public/cfb6261a-c911-443b-8af8-c9a0c2960aef/r,0.0
2, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.98453608247423,136000,0,1,136000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--c60d,https://smith.langchain.com/public/8dce3253-d2df-4591-a6bb-24f75d4443c9/r,0.0
3, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.97886029411765,109000,1,1,109000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--839f,https://smith.langchain.com/public/a43342c3-a389-4c14-ab06-3eac5523c1ce/r,1.0
4, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.988997555012226,82000,1,1,82000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--fef1,https://smith.langchain.com/public/be67a517-0ca3-4d63-8c00-45e4ed5d28f9/r,1.0
5, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.88503649635037,55000,1,1,55000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--cbc2,https://smith.langchain.com/public/55f6f82d-1bb3-463c-a4c4-5e33cec88d55/r,1.0
6, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.92086330935252,28000,0,1,28000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--acfa,https://smith.langchain.com/public/e99df09e-59ee-47c6-a5bc-ff3158caf2d1/r,0.0
7, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,47.25,1000,1,1,1000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--b6d9,https://smith.langchain.com/public/5c662f12-1ccd-47ac-8622-19152a4b911a/r,1.0
8, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.99525816649104,190000,1,1,190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--97eb,https://smith.langchain.com/public/4f7c028e-d7bd-4fe0-91bf-18412630b3e1/r,1.0
9, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.973587223587224,163000,0,1,163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--d2ea,https://smith.langchain.com/public/afc4b7b0-9eac-4249-9f30-f83ee03ec206/r,0.0
10, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.98453608247423,136000,0,1,136000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--98d0,https://smith.langchain.com/public/638252b3-0b26-4f5b-95b8-1a27bd0097a7/r,0.0
11, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.97886029411765,109000,1,1,109000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--bf43,https://smith.langchain.com/public/8cad2b50-772b-4f8f-8350-ac06e5744eaf/r,1.0
12, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.988997555012226,82000,1,1,82000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--e8e0,https://smith.langchain.com/public/aef0099b-b4f8-4fec-8821-e2fa69774a88/r,1.0
13, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.88503649635037,55000,1,1,55000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--5f32,https://smith.langchain.com/public/23a800c5-bd44-46d8-bdf0-45b34c1771c2/r,1.0
14, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.92086330935252,28000,0,1,28000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--761c,https://smith.langchain.com/public/26e0e31f-ba38-4ebb-b076-b9df3861d259/r,0.0
15, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,47.25,1000,1,1,1000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--e1e5,https://smith.langchain.com/public/5da8fb5e-f4c8-400a-b448-e7ac443c4d51/r,1.0
16, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.92086330935252,28000,0,1,28000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--ec14,https://smith.langchain.com/public/c66ce70b-601b-4825-af5f-29797c1f484f/r,0.0
17, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.99525816649104,190000,1,1,190000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--96c1,https://smith.langchain.com/public/ec674908-461a-4b8f-8663-5191c432ca39/r,1.0
18, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.973587223587224,163000,0,1,163000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--e899,https://smith.langchain.com/public/902d104d-9a1f-489f-bf0e-781431f9a2f1/r,0.0
19, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.98453608247423,136000,0,1,136000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--2c50,https://smith.langchain.com/public/c11f366a-79c6-475b-89a5-ddf07708c362/r,0.0
20, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.97886029411765,109000,1,1,109000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--c221,https://smith.langchain.com/public/e4b3e78c-1b24-4cda-8c26-9c261ee082c4/r,1.0
21, Figs are the secret ingredient needed to build the perfect pizza. ,Figs,49.988997555012226,82000,1,1,82000-50--claude-3-opus-20240229--multi-needle-eval-pizza-1--92c4,https://smith.langchain.com/public/6c691063-f65f-4c5c-811e-ac487bbbbcb9/r,1.0
